Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-2 Analyzing information related to the movement of celestial bodies and their apparent and relative locations, and deducing the conditions prevailing in",2. Analyzing information related to the movement of celestial bodies across the sky to know their apparent and relative locations.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-1 Explaining the causes of climate change, its effects and associated",3. Providing evidence of the causes of climate change in some parts of the world and its future consequences.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-2 Understanding the importance of the carbon cycle, its geological utility and describing the phenomena associated",2. Describing the phenomena associated with the process of carbon transport through the earth's layers and various materials.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-4 Describing the types of rocks and minerals, their characteristics and","1. Determining the general and specific characteristics of rocks and minerals, and indicating their uses in his area."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-4 Describing the types of rocks and minerals, their characteristics and",2. Classifying minerals and providing examples for comparison to identify similarities and differences between them.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-5 Explaining the characteristics of different rocks, their classification methods, and the cycle of their change from one type to another.",2. Comparing the types of metamorphic rocks to determine the similarities and differences in their characteristics.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-5 Explaining the characteristics of different rocks, their classification methods, and the cycle of their change from one type to another.","3. Explaining the characteristics of sedimentary rocks, the method of their formation, and the best way to classify them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-5 Explaining the characteristics of different rocks, their classification methods, and the cycle of their change from one type to another.","4. Describes the rock cycle, the transformation of rocks from one type to another, and the processes and changes associated with it."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","1. Defining the theory of the earth's plates, their structure and components, listing their types (oceanic and continental), identifying the lithosphere, the plate and the fluid layers, and distinguishing the shape of each of them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","2. Defining earthquakes, seismic waves and their types, and defining the epicenter of the earthquake and distinguishing each of them through drawing."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","3. Explaining the phenomena resulting from earthquakes, explaining the reasons of their occurrence, showing their destructive effects, and explaining ways to be safe from them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","4. Listing the different forms of volcanoes (shield, conical, compound, and fissure eruptions), identifying and distinguishing each of them, and providing an example."
Grade 9,Science,Earth and Space Sciences,9-5-3-2-7 Analyzing information and data related to the theory of plate motion and continental drift and predicting its results and benefits.,"2. Explaining what is meant by moving plate boundaries, listing their types (convergence boundaries, divergence boundaries, and lateral or transformational boundaries), and distinguishing each type."
Grade 9,Science,Earth and Space Sciences,9-5-3-3-1 Tracking some of the changes that occurred to the Earth as a result of human activity and exploring the natural hazards that may occur on Earth and how to predict them.,1. Describing environmental changes and their negative effects on natural resources and tracks their occurrence over time.
Grade 9,Science,Earth and Space Sciences,9-5-3-3-1 Tracking some of the changes that occurred to the Earth as a result of human activity and exploring the natural hazards that may occur on Earth and how to predict them.,1. Describing the impact of human activity on the future of the Earth and predicting various and adverse changes in human life.
Grade 9,Science,Earth and Space Sciences,9-5-3-3-1 Tracking some of the changes that occurred to the Earth as a result of human activity and exploring the natural hazards that may occur on Earth and how to predict them.,3. Proposing solutions and means to prevent natural and human hazards and proving their effectiveness.
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.","1. Identifying the basic unit of structure of living organisms, stating the principles of the cell theory, recognizing the importance of technological tools (magnifying devices and microscopes), and explaining their role in identifying cells and their components."
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.","2. Describing cell structures, relating them to their specialized functions within the cell, and explaining how each structure contributes to overall cellular functions."
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.",3. Comparing unicellular and multicellular organisms and providing examples of each.
