Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-1Classifying the layers of the atmosphere and identifying their components, characteristics, changes, its effects on the environment and their benefits to humans.",4. Explaining the causes of climate change in some regions of the world and proposing multiple solutions to address the impacts and risks of weather fluctuations.
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","1. Describing the Earth's spheres and Plate tectonics, identifying the layers of the Earth that make up the lithosphere and the biosphere, and distinguishing between them."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","1. Explaining the geological changes and processes that affect the earth's surface, classifying and locating them."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","2. Describing how magma moves Earth's plates, using that for explaining the formation of oceans and mountains."
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-2 Deducing the relationship of the Earth›s spheres to each other and predicting the interactions, and changes that occur between them and the geological effects resulting from them.","3. Identifies Earth’s natural features, including landforms and water bodies, and explains the causes of their formation."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-3 Describing the factors and processes that affected the Earth›s surface which changed some of its,"3. Explaining the factors of erosion, weathering, and sedimentation and their causes, and predicting the patterns of their action and their effects on earth."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-4 Describing the types of rocks and their relationship to minerals and distinguishing their characteristics and,"2. Describing the types of rocks in his area, explaining their characteristics, and their use."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-5 Determining the causes and effects of earthquakes and volcanoes and identifying the sites most vulnerable to earthquakes and volcanoes.,1. Relating the change of the Earth's shape with the external and internal geological processes.
Grade 6,Science,Earth and Space Sciences,6-5-3-2-5 Determining the causes and effects of earthquakes and volcanoes and identifying the sites most vulnerable to earthquakes and volcanoes.,"2. Explaining the causes of earthquakes and volcanoes, anticipating the damages that result from them, and proposing solutions for prevention to limit their effects."
Grade 6,Science,Earth and Space Sciences,6-5-3-2-5 Determining the causes and effects of earthquakes and volcanoes and identifying the sites most vulnerable to earthquakes and volcanoes.,3. Determining the locations and types of earthquake monitoring stations and devices in the Kingdom of Saudi Arabia and comparing between them.
Grade 6,Science,Life Sciences,6-5-1-1-1 Describing the cell structures and linking them to their vital functions.,"2.Identifying and naming structures in the cell (nucleus, cytoplasm, cell membrane, cell wall)."
Grade 6,Science,Life Sciences,6-5-1-1-1 Describing the cell structures and linking them to their vital functions.,3.Linking between cellular structures and their specific functions.
Grade 6,Science,Life Sciences,"6-5-1-1-4 Describing the different patterns in the life cycles of animals and plants and the changes accom-panying them, and comparing them.","1.Describing the different patterns in life cycles of different animals (insects, am-phibians, and mammals) and different plants, and comparing them."
Grade 6,Science,Life Sciences,"6-5-1-1-4 Describing the different patterns in the life cycles of animals and plants and the changes accom-panying them, and comparing them.",2.Describing the changes that occur to animals and plants during life cycles and predict them based on the pattern of reproduction and the life cycle.
Grade 6,Science,Life Sciences,6-5-1-2-1 Classifying living organisms into groups based on common phenotypic traits.,2.Determining the common characteristics and traits of various animals in order to justify their classification within specific groups.
Grade 6,Science,Life Sciences,"6-5-1-3-1 Representing biological communities and identifying types of population that lives in it, describ-ing the interrelationships among them, and their inter-action with the abiotic components, and the impact of biological communities changes on their survival and sustainability.","1.Describing the biological community and the types of population and living or-ganisms that live in it, and their ability to survive in their habitats through the avail-ability of the necessities of life."
Grade 6,Science,Life Sciences,"6-5-1-3-1 Representing biological communities and identifying types of population that lives in it, describ-ing the interrelationships among them, and their inter-action with the abiotic components, and the impact of biological communities changes on their survival and sustainability.","2.Identifying the interrelationships among living organisms, and their interaction with the abiotic components of their habitats to obtain their needs."
Grade 6,Science,Life Sciences,"6-5-1-3-2 Describing the components of the ecosystem and explaining the impact of the availability of different resources in ecosystems on the survival and sustainability of living organisms, and proposing solutions to problems that affect the stability of the ecosystem.","1. Describing the biotic and abiotic components of ecosystems and their interaction to provide the needs of living organisms, and its impact on the survival and stability of the ecosystem."
Grade 6,Science,Life Sciences,"6-5-1-3-2 Describing the components of the ecosystem and explaining the impact of the availability of different resources in ecosystems on the survival and sustainability of living organisms, and proposing solutions to problems that affect the stability of the ecosystem.",2. Determining the causes of changes in habitats and their impact on plants and animals that lives there.
