Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 6,Math,Algebra and analysis,"6-4-2-2-1 Distinguishing and writing algebraic expressions, finding their values, solving simple linear equations, and solving mathematical problems including real-life applications.","2. Distinguishing and writing simple one-step linear equations,  and solving them mentally and by using models."
Grade 6,Math,Geometry and measurement,"6-4-3-1-1 Distinguishing basic geometric concepts, identifying types of angles, relationships between lines, and relationships between angles.","3. Distinguishing intersecting, parallel, and perpendicular lines, and identifying them on geometric figures."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","2. Identifying the appropriate unit of mass, distinguishing relationships between metric units of mass (g, mg), (kg, g), (ton, kg), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","3. Identifying the appropriate unit of capacity, distinguishing relationships between metric units of capacity (l, ml), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-1 Distinguishing relationships between units of length, mass, capacity, and time, and using them to convert between units.","4. Distinguishing relationships between units of time (second, minute), (minute, hour), (hour, day), (day, week), (month, year), and using them to convert between units."
Grade 6,Math,Geometry and measurement,"6-4-3-3-2 Distinguishing formulas for the perimeter and area of two-dimensional shapes, using them to find perimeter and area, and solving mathematical problems including real-life applications.","2. Distinguishing formulas for the areas of the rectangle, square, parallelogram, and triangle, and using them to calculate their areas and the areas of composite shapes formed from them."
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","1. Estimating volume and measuring it by using the appropriate metric unit (ml3, cm3, and m3)."
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.",2. Distinguishing the formula for the volume of a right rectangular prism and using it to calculate its volume.
Grade 6,Math,Geometry and measurement,"6-4-3-3-3 Understanding volume and surface area and their units, distinguishing the formulas for a right rectangular prism, and applying them to find volume and solving mathematical problems including real-life applications.","4. Solving mathematical problems including real-life applications of the volume and surface area of a right rectangular prism, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-1-1 Understanding and representing the place value of numbers up to 12 digits, reading, writing, comparing, Ordering, rounding them.","2. Reading and writing numbers up to 12 digits in standard, verbal, and analytical forms."
Grade 6,Math,Numbers and operations,"6-4-1-1-3 Understanding and representing decimal fractions, recognizing the place value of a digit in it, reading, writing, comparing, ordering, and rounding them, and converting between decimal fractions, Proper fractions and mixed numbers.","3. Comparing decimal fractions, ordering them in ascending and descending order, and converting between decimal fractions, Proper fractions, and mixed numbers."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","2. Multiplying numbers up to three digits by numbers up to two digits, with and without regrouping, using place valueâ€“based strategies."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","3. Dividing numbers of up to four digits by numbers of up to two digits, with and without remainder, using place valueâ€“based strategies."
Grade 6,Math,Numbers and operations,"6-4-1-2-1 Adding and subtracting whole numbers up to seven digits, multiplying numbers up to three digits, dividing numbers of up to four digits by numbers of up to two digits, and solving mathematical problems including real-life applications.","4. Solving mathematical problems up to three steps, including real-life applications on all four operations, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.",1. Determining the factors of a number and representing them using models and diagrams.
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","3. Distinguishing prime and non-prime numbers, and representing them using models and diagrams."
Grade 6,Math,Numbers and operations,"6-4-1-2-2 Distinguishing the factors and multiples of a number, representing and finding them, and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications of the greatest common divisor and the least common multiple, and explaining their solutions."
Grade 6,Math,Numbers and operations,"6-4-1-2-3 Understanding powers of whole numbers, representing and finding them, finding values of numerical expressions included it, and solving mathematical problems including real-life applications.","3. Solving mathematical problems including real-life applications of numerical expressions with powers of whole numbers, and explaining their solution."
Grade 6,Math,Numbers and operations,"6-4-1-2-4 Understanding and finding ratios, rates, percentages, and proportions, distinguishing between them, and solving mathematical problems including real-life applications.","2. Distinguishing and finding percentages, representing them using models and diagrams,  and expressing them as decimal or Proper fractions in simplest form."
