Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 9,Science,Physical Sciences,9-5-2-2-1 Describing the movement of a body based on the concepts of the main elements of movement and distinguishing between them.,"2. Explaining the concept of acceleration for a moving body, and indicating the time of its occurrence. Calculating the value of positive and negative acceleration"
Grade 9,Science,Physical Sciences,9-5-2-2-1 Describing the movement of a body based on the concepts of the main elements of movement and distinguishing between them.,"3. Explaining the relationship between acceleration, velocity, displacement, time and direction of motion theoretically and mathematically."
Grade 9,Science,Physical Sciences,9-5-2-2-1 Describing the movement of a body based on the concepts of the main elements of movement and distinguishing between them.,"4. Identifying the circular motion, show the effect of the centripetal force on it, and provide an example of it."
Grade 9,Science,Physical Sciences,9-5-2-2-2 Understanding the concept of momentum and the law of momentum conservation.,1. Stating Newton's first law of motion and providing examples thereof.
Grade 9,Science,Physical Sciences,9-5-2-2-2 Understanding the concept of momentum and the law of momentum conservation.,3. Predicting the motion of bodies based on the principle of conservation of momentum and providing examples thereof.
Grade 9,Science,Physical Sciences,"9-5-2-2-3 Understanding the concept of friction force, its types, and how it affects the movement of objects.","2. Defining the force of friction, give examples of it, and explaining how friction affects motion."
Grade 9,Science,Physical Sciences,9-5-2-2-4 Understanding the concept of moment of inertia and reformulating Newton›s first law based on it.,2. Formulating Newton's first law according to the moment of inertia.
Grade 9,Science,Physical Sciences,9-5-2-2-5 Understanding Newton›s second law theoretically and graphically and determining the relationship between body acceleration and the factors affecting,"2. Determining the relationship between the acceleration of the body and the factors affecting it, based on Newton's second law, theoretically and mathematically."
Grade 9,Science,Physical Sciences,9-5-2-2-5 Understanding Newton›s second law theoretically and graphically and determining the relationship between body acceleration and the factors affecting,4. Defining the force of gravity and its effects on bodies and providing examples.
Grade 9,Science,Physical Sciences,9-5-2-2-6 Understanding Newton›s third law and calculating the value of mutual forces mathematically based on it.,1. Explaining the concept of electric current theoretically and by drawing.
Grade 9,Science,Physical Sciences,9-5-2-2-6 Understanding Newton›s third law and calculating the value of mutual forces mathematically based on it.,"2. Formulating Newton's third law and giving practical daily life examples. Explaining some phenomena in light of it, such as weightlessness and free fall, theoretically and graphically"
Grade 9,Science,Physical Sciences,"9-5-2-3-1 Explaining the concept of electric current and methods of generating it in electrical circuits and its relationship to voltage and electrical resistance, and distinguishing between direct and alternating currents.","1. Explaining the formation of the electric force between charges theoretically and graphically, and describing its relationship to the electric field."
Grade 9,Science,Physical Sciences,"9-5-2-3-1 Explaining the concept of electric current and methods of generating it in electrical circuits and its relationship to voltage and electrical resistance, and distinguishing between direct and alternating currents.",2. Describing the methods of generating electric current in electrical circuits
Grade 9,Science,Physical Sciences,"9-5-2-3-1 Explaining the concept of electric current and methods of generating it in electrical circuits and its relationship to voltage and electrical resistance, and distinguishing between direct and alternating currents.","3. Determines the relationship between electric current, electric voltage, and electrical resistance, and calculates the value of each using Ohm’s law mathematically"
Grade 9,Science,Physical Sciences,9-5-2-3-3Comparing between different types of materials in terms of their electrical conductivity.,1. Comparing the types of materials in terms of their electrical conductivity. Providing examples of conductive and insulating materials and their uses in daily life.
Grade 9,Science,Physical Sciences,9-5-2-3-3Comparing between different types of materials in terms of their electrical conductivity.,"1. Explaining the relationship between the electric current and the magnetic field, and deducing the factors that control it."
Grade 9,Science,Physical Sciences,"9-5-2-4-1 Clarifying the concept of thermal energy, its impact and its relationship to temperature.",1. Explaining the concept of thermal energy. Giving examples of thermal energy and its effects on his daily life
Grade 9,Science,Physical Sciences,"9-5-2-4-1 Clarifying the concept of thermal energy, its impact and its relationship to temperature.",2. Describing the relationship between thermal energy and temperature.
Grade 9,Science,Physical Sciences,"9-5-2-4-2 Understanding the mechanism of heat transmission and conduction between objects, and measuring temperature.",3. Distinguishing between materials based on their degree of heat conduction.
