Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 9,Math,Geometry and measurement,"9-4-3-1-4 Distinguishing the congruence and similarity of two polygons, using them to find unknown measures, and solving mathematical problems including real-life applications.",3. Distinguishing the similarity of two polygons and using its to identify similar polygons and find unknown measures.
Grade 9,Math,Geometry and measurement,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.",1. Determining the locations of points in the coordinate plane (rational-number coordinates) by utilizing ordered pairs of rational numbers.
Grade 9,Math,Geometry and measurement,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.","1. Distinguishing the relationships between English units of length (inch, foot, yard, mile) and using them to convert between units."
Grade 9,Math,Geometry and measurement,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.","2. Distinguishing dilation and determining its type, center, and scale factor."
Grade 9,Math,Geometry and measurement,"9-4-3-3-1 Distinguishing the relationships between the units of length, mass, and capacity, and using them to convert within these units and between English and metric measurement units.",3. Distinguishing the relationship between the two English units of capacity (cups and gallons) and using them to convert between units.
Grade 9,Math,Geometry and measurement,"9-4-3-3-2 Distinguishing the formulas for perimeter and area of two-dimensional shapes, using them to find perimeters and areas, and solving mathematical problems including real-life applications.","2. Distinguishing the relationship between the perimeters of similar shapes, and using its to find unknown measures."
Grade 9,Math,Geometry and measurement,"9-4-3-3-3 Distinguishing the formulas for volume and surface area of three- dimensional shapes, using them to find volume and surface area, and solving mathematical problems including real-life applications.","1. Describing survey studies and using them to collect and organize data, distinguishing random samples and their types, and classifying them."
Grade 9,Math,Geometry and measurement,"9-4-3-3-3 Distinguishing the formulas for volume and surface area of three- dimensional shapes, using them to find volume and surface area, and solving mathematical problems including real-life applications.","2. Distinguishing the surface area formulas for right square pyramids, right triangular pyramids, cylinders, and cones, and using them to find their surface areas."
Grade 9,Math,Numbers and operations,"9-4-1-1-2 Understanding real numbers, classifying, comparing, and  Ordering them.","1. Finding the square root of a number and approximating it to the nearest whole number or to the nearest decimal place, by using a calculator and without using one."
Grade 9,Math,Numbers and operations,"9-4-1-2-1 Finding the powers of rational numbers, and distinguishing  laws of exponent,  and using them to simplify numerical expressions,  Writing  and finding their values, writing numbers in scientific notation.","1. Finding the power of a rational number (with an integer exponent), distinguishing the laws of exponents, and using them to simplify numerical expressions."
Grade 9,Math,Numbers and operations,"9-4-1-2-1 Finding the powers of rational numbers, and distinguishing  laws of exponent,  and using them to simplify numerical expressions,  Writing  and finding their values, writing numbers in scientific notation.","2. Writing numerical expressions with rational numbers, including powers with integer exponents and parentheses, and finding their values by  using the order of operations."
Grade 9,Math,Numbers and operations,"9-4-1-2-2 Performing the four operations on integers, rational numbers, and square roots, and using them to simplify the numerical expressions and solving mathematical problems including real-life applications.","2. Adding, subtracting, multiplying, and dividing rational numbers."
Grade 9,Math,Numbers and operations,"9-4-1-2-2 Performing the four operations on integers, rational numbers, and square roots, and using them to simplify the numerical expressions and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications that require the four operations on integers and rational numbers, numerical expressions, and providing and explanation their solutions."
Grade 9,Math,Numbers and operations,"9-4-1-2-3 Finding the ratio, unit rate, percentage, estimating them, and distinguishing proportional relationships, solving proportions, and solving mathematical problems including real-life applications.","4. Distinguishing percentage, proportion, and using it to find one value when two of the following are known: percentage, whole, and part."
Grade 9,Math,Statistics and probabilities,"9-4-4-3-1 Writing the sample space of a random experiment, finding the number of possible outcomes, distinguishing types of events, and calculating their probabilities.","3. Distinguishing types of events (simple and compound, mutually exclusive and non-mutually exclusive, complementary, independent and dependent) and calculating their probabilities."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-1 Describing some of the methods, techniques and tools used in exploring the","1. Explaining the means, techniques and tools used in space exploration and listing the most important space flights."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-1 Describing some of the methods, techniques and tools used in exploring the","2. Explaining one of the means of exploring the universe, illustrating its basic characteristics and its most prominent advantages."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-1 Describing some of the methods, techniques and tools used in exploring the","3. Organizing and analyzing the data and information available on the vastness and magnitude of the universe, on the number of galaxies, their cosmic distances and paths, to provide evidence for them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-2 Analyzing information related to the movement of celestial bodies and their apparent and relative locations, and deducing the conditions prevailing in","1. Describing the changes resulting from the phenomenon of heat transfer, retention and their effects."
