Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 6,Science,Physical Sciences,6-5-2-3-2 Understanding the principle of energy conservation during its transformations and apply it in daily life.,1. Describing how energy is transferred from one place to another in its surroundings and between objects and systems.
Grade 6,Science,Physical Sciences,"6-5-2-4-1 Describing waves, distinguishing between their properties theoretically and graphically, and predicting their movement.",4. Describing the transmission of sound and light as waves through material media and space and distinguishing between them.
Grade 6,Science,Physical Sciences,"6-5-2-4-2 Understanding the concepts of reflection and refraction of light, transmission of sound, and explaining their role in interaction and communication in the surrounding environment.",1. Explaining the concept of electric charge and explaining the attraction and repulsion of charged bodies theoretically and graphically.
Grade 6,Science,Physical Sciences,"6-5-2-4-2 Understanding the concepts of reflection and refraction of light, transmission of sound, and explaining their role in interaction and communication in the surrounding environment.",3. Describing the transmission of sound by absorbing or reflecting it through different media and objects.
Grade 6,Science,Physical Sciences,"6-5-2-5-1Understanding the concept of electric charge, explaining the attraction and repulsion of charged bodies, and comparing electrical circuits connected in series and in parallel.","1. Defining magnets, identifying and naming their poles, and explain how magnets are formed."
Grade 9,English,Reading Comprehension,"9.2.1.1.2 Eliciting the main and sub-ideas of a long and complex text, deducing implicit ideas, distinguishing, interpreting, and analyzing them.","2. Extracting indirect information from the text, identifying its subject, inferring implicit ideas, and posing questions (explanatory, explanatory, inferential, analytical, or critical)."
Grade 9,English,Reading Comprehension,"9.2.1.1.2 Eliciting the main and sub-ideas of a long and complex text, deducing implicit ideas, distinguishing, interpreting, and analyzing them.","4. Distinguishing between facts, opinions, and direct and indirect expressions mentioned in one text or more."
Grade 9,English,Reading Comprehension,"9.2.1.1.3 Evaluating, and criticizing the read text, expressing an opinion on the writer's point of view, values and attitudes, proposing alternatives, using means of persuasion and reasoning, summarizing it, and applying data of the text in different life situations.","1. Distinguishing between phrases, sentences, ideas and paragraphs of the read text, and identifying the use of specific structure for certain expressions and enriching the text with expressions of his/her own creation."
Grade 9,English,Reading Comprehension,"9.2.1.1.3 Evaluating, and criticizing the read text, expressing an opinion on the writer's point of view, values and attitudes, proposing alternatives, using means of persuasion and reasoning, summarizing it, and applying data of the text in different life situations.","2. Showing his/her point of view on the events, information or ideas contained in the text, and judging the credibility of the information contained in the texts from his/ her experiences."
Grade 9,English,Reading Comprehension,"9.2.1.1.3 Evaluating, and criticizing the read text, expressing an opinion on the writer's point of view, values and attitudes, proposing alternatives, using means of persuasion and reasoning, summarizing it, and applying data of the text in different life situations.","5. Summarizing the text in short phrases, rephrasing it, and organizing its information and ideas in own style or using various graphic organizers."
Grade 9,English,Vocabulary Acquisition and Use of Verbal Semantics,"9.2.1.1.1 Inferring and classifying the semantics of vocabulary, through synonymy, antonymy, context, interpretation, definition, classification, representation, and using them in new contexts.",5. Employing new vocabulary and vocabulary with diverse meanings in different reading contexts and situations to solve problems.
Grade 9,Math,Algebra and analysis,"9-4-2-1-1 Understanding arithmetic sequences and relationships, representing them graphically, distinguishing linear relationships, and solving mathematical problems including real-life applications.","1. Describing a function, determining its domain and range, writing its rule using two variables, and finding its values for given inputs from its domain."
Grade 9,Math,Algebra and analysis,"9-4-2-1-2 Understanding functions, distinguishing linear and quadratic functions, identifying their properties, and representing them graphically.",2. Distinguishing linear functions and representing them graphically.
Grade 9,Math,Algebra and analysis,"9-4-2-2-1 Writing algebraic expressions with rational coefficients, finding their values, performing arithmetic operations on them, and Distinguishing basic identities.","3. Distinguishing the basic identities: the square of a sum of two terms, the square of a difference of two terms, and the product of the sum and difference of two terms, and using them."
Grade 9,Math,Algebra and analysis,"9-4-2-2-3 Writing linear and quadratic equations, solving them algebraically and graphically, and estimating their solutions from graph representations.","1. Writing and solving a system of two linear equations with two variables, both algebraically (by substitution or elimination) and graphically."
Grade 9,Math,Algebra and analysis,"9-4-2-2-3 Writing linear and quadratic equations, solving them algebraically and graphically, and estimating their solutions from graph representations.","4. Estimating the solution of a quadratic equation from its graphical representations, and solving quadratic equations graphically and algebraically using factoring, the quadratic formula, or completing the square."
Grade 9,Math,Algebra and analysis,"9-4-2-2-4 Writing a system of two linear equations with two variables, and solving them algebraically and graphically.","1. Distinguishing inequalities, identifying linear and compound inequalities, and writing them."
Grade 9,Math,Geometry and measurement,"9-4-3-1-1 Distinguishing the interior angles of polygons, and the relationships between angles formed by a transversal intersecting parallel lines, and using them to find unknown angle measures, and determining polygons that can form tessellations.","1. Distinguishing shapes that are symmetric about an axis, identifying axes of symmetry and shapes that have rotational symmetry about a point, and determining angles of rotation."
Grade 9,Math,Geometry and measurement,"9-4-3-1-4 Distinguishing the congruence and similarity of two polygons, using them to find unknown measures, and solving mathematical problems including real-life applications.","1. Distinguishing the basic trigonometric ratios (sine, cosine, and tangent) and finding them for an acute angle in a right triangle (manually and using a calculator), rounded to the nearest given place."
